level	category_url	category_title	article_no	article_url	article_title	article_label	article_desc	article_weblink_url	article_weblink_label	article_file_url	article_file_title	article_dateModified	article_modifiedBy	article_type
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51497.aspx		Addis Ababa Declaration				http://ggim.un.org/knowledgebase/Attachment1361.aspx?AttachmentType=1	Addis Declaration Final 22Apr2016_rev.pdf	Monday, May 23, 2016	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50102.aspx		Seoul Declaration (2011)				http://ggim.un.org/knowledgebase/Attachment36.aspx?AttachmentType=1	Seoul Declaration.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50330.aspx		Beijing Declaration/Chairperson Statement of the HLF3 (2014)				http://ggim.un.org/knowledgebase/Attachment168.aspx?AttachmentType=1	Beijing Declaration-Sustainable Development with Geospatial Information.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50100.aspx		Doha Declaration (2013)				http://ggim.un.org/knowledgebase/Attachment34.aspx?AttachmentType=1	Doha Declaration.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory25.aspx	Resolutions Specific to Work Programme	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50106.aspx		Chengdu Forum on UN-GGIM (2013)				http://ggim.un.org/knowledgebase/Attachment39.aspx?AttachmentType=1	Chengdu Forum on UN.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory25.aspx	Resolutions Specific to Work Programme	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50107.aspx		Recommendations from the First Meeting of UN EG-ISGI (2013)				http://ggim.un.org/knowledgebase/Attachment40.aspx?AttachmentType=1	United Nations Expert Group on the Integration of Statistical and Geospatial Information .pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50108.aspx		ISO_TC 211 resolutions				http://ggim.un.org/knowledgebase/Attachment41.aspx?AttachmentType=1	ISO_TC 211 resolutions.pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50109.aspx		CODIST resolution on GGIM				http://ggim.un.org/knowledgebase/Attachment42.aspx?AttachmentType=1	CODIST resolution on GGIM .pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50110.aspx		2011 UN STATCOM - Report on Global Geospatial Information...				http://ggim.un.org/knowledgebase/Attachment43.aspx?AttachmentType=1	2011 UN STATCOM - Report on Global Geospatial Information Management.pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50111.aspx		2010 UN STATCOM - Discussion paper on Global Geospatial...				http://ggim.un.org/knowledgebase/Attachment44.aspx?AttachmentType=1	2010 UN STATCOM - Discussion paper on Global Geospatial Information Management.pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50112.aspx		UN STATCOM - Statistical Commission decision 41110 Global...				http://ggim.un.org/knowledgebase/Attachment45.aspx?AttachmentType=1	UN STATCOM - Statistical Commission decision 41110 Global geographic information management.pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50113.aspx		UNRCC-AP - Resolution VII Global geographic information...				http://ggim.un.org/knowledgebase/Attachment46.aspx?AttachmentType=1	UNRCC-AP - Resolution VII Global geographic information management.pdf	Monday, June 9, 2014	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	6	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50114.aspx		ECOSOC - Resolution 2010-24 entitled Global geographic...				http://ggim.un.org/knowledgebase/Attachment192.aspx?AttachmentType=1	ECOSOC - Resolution 2010-24 entitled Global geographic information management.pdf	Tuesday, May 19, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	Supporting Resolutions	7	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50146.aspx		Establishment of UN-GGIM (ECOSOC Resolution 2011-24)				http://ggim.un.org/knowledgebase/Attachment76.aspx?AttachmentType=1	Establishment of UN-GGIM (ECOSOC Resolution 2011-24).pdf	Thursday, September 25, 2014	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	UN-GGIM Resources Center	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50443.aspx		China, National Administration of Surveying, Mapping and...		http://en.nasg.gov.cn/	The NASG is the administrative organization in charge of the surveying and mapping work across China			Friday, September 4, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	UN-GGIM Resources Center	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50460.aspx	The GCRC is an official Research Centre in the Department of  Geography and Environmental Studies   , Carleton University, Ottawa, Canada.       GCRC research focuses on the application of geographic information processing and management to the...	Geomatics and Cartographic Research Center (GCRC), Carleton...	***The GCRC is an official Research Centre in the Department of [Geography and Environmental Studies![](https://gcrc.carleton.ca/confluence/images/icons/linkext7.gif)](http://www2.carleton.ca/geography/research/), Carleton University, Ottawa, Canada.***GCRC research focuses on the application of geographic information processing and management to the analysis of socio-economic issues of interest to society at a variety of scales from the local to the international and the presentation of the results in new, innovative cartographic forms. Cybercartography is a new multimedia, multisensory and interactive online cartography and its main products are cybercartographic atlases using location as a key organizing principle. These atlases create narratives from a variety of different perspectives and include both quantitative and qualitative information. These include stories, art, literature and music as well as socio-economic and environmental information. GCRC research includes: cybercartography, polar research, multisensory cartography (e.g. sound and olfaction), cinématographie, indigenous knowledge, participatory cartography, archiving and preservation, open source technologies and interoperability, the management of geographic information, and Global Map.	https://gcrc.carleton.ca/confluence/display/GCRCWEB/Overview	https://gcrc.carleton.ca/confluence/display/GCRCWEB/Overview			Wednesday, November 4, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	UN-GGIM Resources Center	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50461.aspx	Abu Dhabi   is the capital and the second most populous city in the  United Arab Emirates  (the most populous being  Dubai ), and also capital of  Abu Dhabi emirate , the largest of the UAE's seven member emirates.  The Abu Dhabi Spatial Data...	Abu Dhabi Spatial Data Infrastructure (AD-SDI)	"**Abu Dhabi** is the capital and the second most populous city in the [United Arab Emirates](https://en.wikipedia.org/wiki/United_Arab_Emirates ""United Arab Emirates"") (the most populous being [Dubai](https://en.wikipedia.org/wiki/Dubai ""Dubai"")), and also capital of [Abu Dhabi emirate](https://en.wikipedia.org/wiki/Emirate_of_Abu_Dhabi ""Emirate of Abu Dhabi""), the largest of the UAE's seven member emirates. The Abu Dhabi Spatial Data Infrastructure (AD-SDI) is a programme of the Government of Abu Dhabi, administered within the Abu Dhabi Systems and Information Centre (ADSIC) e-government programme to facilitate the sharing of geospatial data among government agencies and other stakeholders."	https://sdi.abudhabi.ae/Sites/SDI/Navigation/EN/root.html	The Abu Dhabi Spatial Data Infrastructure (AD-SDI)			Thursday, November 5, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	UN-GGIM Resources Center	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50463.aspx	Medina project enhances the capacities of Mediterranean Northern African Countries (Morocco, Algeria, Tunisia, Libya and Egypt) to monitor their coastal and marine ecosystems through the development of indicators and the integration of coastal...	MEDINA e-infrastructure (MeI) for Morocco, Algeria, Tunisia,...	Medina project enhances the capacities of Mediterranean Northern African Countries (Morocco, Algeria, Tunisia, Libya and Egypt) to monitor their coastal and marine ecosystems through the development of indicators and the integration of coastal monitoring tools into GEOSS.The Medina e-infrastructure (MeI) is a full SDI, constructed as a compound of web services (OGC standards), that allows end users to visualize, query maps and analyse coastal data. Its design and capacities supports collaborative decision-making and marine ecosystem management. The MeI contains 80 indicators that correspond to 395 maps (37 DPSIR indicators and Ecological objectives, 10 indicators of Earth Observation and 33 indicators from Modelling).	http://www.medinageoportal.eu/#	Medina e-infrastructure (MeI)			Thursday, November 5, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50201.aspx	Faculty of Geo-Information Science and Earth Observation(ITC), University of Twente (Netherlands)	ITC, University of Twente	Faculty of Geo-Information Science and Earth Observation(ITC), University of Twente (Netherlands)	http://www.itc.nl/study	Faculty of Geo-Information Science and Earth Observation(ITC)			Monday, March 30, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50174.aspx		CIESIN, Columbia University	The Center for International Earth Science Information Network(CIESIN), Earth Institute, Columbia University (New York, US)	http://www.ciesin.org/	The Center for International Earth Science Information Network(CIESIN)			Monday, March 30, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50230.aspx	Center for Geographic Analysis, Harvard University (US)	Center for Geographic Analysis, Harvard University	Center for Geographic Analysis, Harvard University (US)	http://gis.harvard.edu/	Center for Geographic Analysis, Harvard University			Monday, March 30, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50233.aspx	School of Geography and Environment, University of Oxford (UK)	School of Geography and Environment, University of Oxford	School of Geography and Environment, University of Oxford (UK)	http://www.geog.ox.ac.uk/	School of Geography and Environment, University of Oxford			Friday, March 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50171.aspx	School of the Civil Engineering and Geosciences, Newcastle University (UK)	School of the Civil Engineering and Geosciences, Newcastle...	School of the Civil Engineering and Geosciences, Newcastle University (UK)	http://www.ncl.ac.uk/ceg/	School of the Civil Engineering and Geosciences			Friday, March 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50184.aspx	Centre de Recherche en Geomatique( CRG ), Laval University	Centre de Recherche en Geomatique(CRG), Laval University	"## Centre de Recherche en Geomatique(CRG), Laval University

##"	http://www.crg.ulaval.ca/?lang=en	Centre de Recherche en Geomatique			Friday, March 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	6	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50247.aspx	Center for Earth Observation, Yale University	Center for Earth Observation, Yale University	Center for Earth Observation, Yale University	http://yceo.yale.edu/	Center for Earth Observation, Yale University			Monday, March 30, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	7	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50224.aspx	Center for Geospatial Analytics, NC State University	Center for Geospatial Analytics, NC State University	Center for Geospatial Analytics, NC State University	http://cnr.ncsu.edu/geospatial/	Center for Geospatial Analytics, NC State University			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	8	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50168.aspx	Nottingham Geospatial Institute, the University of Nottingham (UK)	Nottingham Geospatial Institute, the University of Nottingham	Nottingham Geospatial Institute, the University of Nottingham (UK)	http://www.nottingham.ac.uk/ngi/index.aspx	Nottingham Geospatial Institute			Friday, March 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	9	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50294.aspx		Earth Science, University of Toronto		http://www.es.utoronto.ca/	Earth Science, University of Toronto			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	10	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50293.aspx		Center for Earth System Science, Tsinghua University		http://www.cess.tsinghua.edu.cn/publish/essen/index.html	Center for Earth System Science, Tsinghua University			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	11	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50255.aspx		School of Earth and Space Science, Peking University	the School of Earth and space Science, Peking University	http://web5.pku.edu.cn/sess/	the School of Earth and space Science, Peking University			Tuesday, April 14, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	12	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50170.aspx		School of Geodesy and Geomatics, Wuhan University	School of Geodesy and Geomatics, Wuhan University	http://en.sgg.whu.edu.cn/	School of Geodesy and Geomatics			Monday, April 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	13	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50195.aspx		Spatial Sciences Institute,University of Southern California	Spatial Sciences Institute, University of Southern Califonia (Los Angeles, US)	http://spatial.usc.edu/	Spatial Sciences Institute,University of Southern California			Monday, April 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	14	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50223.aspx		Canadian Institute of Geomatics		http://www.cig-acsg.ca/english/	Canadian Institute of Geomatics			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	15	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50225.aspx		Center for Geospatial Technology, Texas Tech Unviersity		http://www.gis.ttu.edu/center/	Center for Geospatial Technology			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	16	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50227.aspx		Stanford Geospatial Center		http://lib.stanford.edu/gis/	Stanford Geospatial Center			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	17	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50228.aspx	Center for Geospatial Intelligence and Investigation(GII), t he Texas State University	GII, the Texas State University	Center for Geospatial Intelligence and Investigation(GII), the Texas State University	http://www.txstate.edu/gii/	Center for Geospatial Intelligence and Investigation			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	18	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50229.aspx	the Center for Geospatial Research(CGR), the University of Georgia	CGR, the University of Georgia	the Center for Geospatial Research(CGR), the University of Georgia	http://geography.uga.edu/center-for-geospatial-research/	the Center of Geospatial Research			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	19	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50232.aspx	the National Center for Geographic Information and Analysis(NCGIA), the University of Maine	NCGIA, the University of Maine	the National Center for Geographic Information and Analysis(NCGIA), the University of Maine	http://umaine.edu/ncgia/	the National Center for Geographic Information and Analysis(NCGIA)			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	20	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50235.aspx	Center for Geographic information Science(CGIS), University of Louisville	CGIS, University of Louisville	Center for Geographic information Science(CGIS), University of Louisville	http://www.ulcgis.org/	Center for Geographic information Science(CGIS)			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	21	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50237.aspx		Institute of Geography, University of Hamburg	Institute of Geography, University of Hamburg	https://www.geo.uni-hamburg.de/en/geographie.html	Institute of Geography, University of Hamburg			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	22	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50238.aspx		Institute of Geography, University of Bern	Institute of Geography, University of Bern	http://www.geography.unibe.ch/content/impressum/index_eng.html	Institute of Geography, University of Bern			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	23	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50239.aspx		Institute of Geography and Spatial Planning, University of...	Institute of Geography and Spatial Planning, University of Luxembourg	http://wwwen.uni.lu/recherche/flshase/institute_of_geography_and_spatial_planning	Institute of Geography and Spatial Planning			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	24	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50240.aspx	GIS Center, Radford University	GIS Center, Radford University	GIS Center, Radford University	http://www.radford.edu/content/csat/home/gis-center.html/	GIS Center, Radford University			Wednesday, April 8, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	List of Educational/Training Institutions	25	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50241.aspx	Center for Geography Education in Oregon, Portland State University	Center for Geography Education in Oregon, Portland State...	Center for Geography Education in Oregon, Portland State University	http://www.pdx.edu/geography-education/	Center for Geography Education in Oregon			Wednesday, April 8, 2015	Staff_Consultant	INFO
