level	category_url	category_title	article_no	article_url	article_title	article_label	article_desc	article_weblink_url	article_weblink_label	article_file_url	article_file_title	article_dateModified	article_modifiedBy	article_type
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51598.aspx		Provisional agenda and annotations - Arabic				http://ggim.un.org/knowledgebase/Attachment1429.aspx?AttachmentType=1	E-C20-2011-1-Agenda-A.pdf	Tuesday, June 12, 2018	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51488.aspx		Global Working Group on Big Data and links to the Global...				http://ggim.un.org/knowledgebase/Attachment1350.aspx?AttachmentType=1	Global Working Group on Big Data and links to the Global Framework.pdf	Monday, May 23, 2016	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51485.aspx		International Workshop on Integrating Geospatial and       Statistical...				http://ggim.un.org/knowledgebase/Attachment1347.aspx?AttachmentType=1	Summary of the International Workshop on Integrating Geospatial and Statistical Information.pdf	Friday, May 13, 2016	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51483.aspx		Global Forum on the Integration of Statistical and Geospatial...				http://ggim.un.org/knowledgebase/Attachment1345.aspx?AttachmentType=1	Summary of the International Workshop on Integrating Geospatial and Statistical Information.pdf	Friday, May 13, 2016	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51472.aspx		The Latest Updates for the UNGGIM-ISPRS Project on the Status       of...				http://ggim.un.org/knowledgebase/Attachment1310.aspx?AttachmentType=1	The Latest Updates for the UNGGIM-ISPRS Project on the Status of Mapping.pdf	Monday, November 30, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51471.aspx		The Current Status of Mapping in the World - Spotlight on...				http://ggim.un.org/knowledgebase/Attachment1309.aspx?AttachmentType=1	The Current Status of Mapping in the World - Spotlight on Pacific Islands.pdf	Monday, November 30, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	6	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51468.aspx	The Gazetteer of Australia is a database of Australia's place names. CGNA, with assistance from National Geographic Information Group, Geoscience Australia, has produced the Gazetteer of Australia 2012.	CGNA_Gazetteer of Australia	"The Gazetteer of Australia is a database of Australia's place names.

CGNA, with assistance from National Geographic Information Group, Geoscience Australia, has produced the Gazetteer of Australia 2012."	http://www.icsm.gov.au/cgna/gazetteer.html	CGNA - Gazetteer of Australia			Tuesday, November 17, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	7	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51467.aspx	The  Intergovernmental Committee on Surveying and Mapping’s (ICSM) role is to provide leadership, coordination and standards for surveying, mapping/charting and national datasets	Intergovernmental Committee on Surveying and Mapping’s (ICSM)	The **Intergovernmental Committee on Surveying and Mapping’s**(ICSM) role is to provide leadership, coordination and standards for surveying, mapping/charting and national datasets	http://www.icsm.gov.au/index.html	Intergovernmental Committee on Surveying and Mapping’s (ICSM)			Tuesday, November 17, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	8	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50403.aspx		National Platform for Common GeoSpatial Information Services,...		http://en.tianditu.com/map/index.html	National Platform for Common GeoSpatial Information Services, China			Friday, July 24, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	Global	9	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50402.aspx		National Geomatics Center of China		http://www.ngcc.cn/article/en/	National Geomatics Center of China (NGCC)			Friday, July 24, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	UN-GGIM Resolutions	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51497.aspx		Addis Ababa Declaration				http://ggim.un.org/knowledgebase/Attachment1361.aspx?AttachmentType=1	Addis Declaration Final 22Apr2016_rev.pdf	Monday, May 23, 2016	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	UN-GGIM Resolutions	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51885.aspx		Mexico City Declaration				http://ggim.un.org/knowledgebase/Attachment1713.aspx?AttachmentType=1	Mexico_City_Declaration_30Nov2017_Final_Agreement.pdf	Wednesday, June 20, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	UN-GGIM Resolutions	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51886.aspx		Beijing Declaration				http://ggim.un.org/knowledgebase/Attachment1714.aspx?AttachmentType=1	beijing_declaration-unggim.pdf	Wednesday, June 20, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory32.aspx	ECOSOC Resolution 2011-24	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50148.aspx		Establishment of UN-GGIM (ECOSOC Resolution 2011-24)				http://ggim.un.org/knowledgebase/Attachment78.aspx?AttachmentType=1	Establishment of UN-GGIM (ECOSOC Resolution 2011-24).pdf	Monday, April 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory24.aspx	Resolutions of Committee of Experts	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50145.aspx		All Decisions from the Sessions of UN-GGIM				http://ggim.un.org/knowledgebase/Attachment70.aspx?AttachmentType=1	All Decisions from the Sessions of UN Committee of Experts on GGIM.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory24.aspx	Resolutions of Committee of Experts	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50105.aspx		Decisions from the Third Session of UN-GGIM (2013)				http://ggim.un.org/knowledgebase/Attachment67.aspx?AttachmentType=1	Decisions from the Third Session of  UN Committee of Experts on GGIM.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory24.aspx	Resolutions of Committee of Experts	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50104.aspx		Decisions from the Second Session of UN-GGIM (2012)				http://ggim.un.org/knowledgebase/Attachment38.aspx?AttachmentType=1	Decisions from the Second Session of UN Committee of Experts on GGIM.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory24.aspx	Resolutions of Committee of Experts	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50103.aspx		Decisions from the First Session of UN-GGIM (2011)				http://ggim.un.org/knowledgebase/Attachment37.aspx?AttachmentType=1	Decisions from the Inaugural Session of UN Committee of Experts on GGIM.pdf	Wednesday, May 13, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51886.aspx		Beijing Declaration				http://ggim.un.org/knowledgebase/Attachment1714.aspx?AttachmentType=1	beijing_declaration-unggim.pdf	Wednesday, June 20, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	Resolutions and Decisions of High Level Forum	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51885.aspx		Mexico City Declaration				http://ggim.un.org/knowledgebase/Attachment1713.aspx?AttachmentType=1	Mexico_City_Declaration_30Nov2017_Final_Agreement.pdf	Wednesday, June 20, 2018	Staff_Consultant	INFO
