level	category_url	category_title	article_no	article_url	article_title	article_label	article_desc	article_weblink_url	article_weblink_label	article_file_url	article_file_title	article_dateModified	article_modifiedBy	article_type
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	Regional	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50316.aspx		Overview of UN-GGIM Regional Entities				http://ggim.un.org/knowledgebase/Attachment139.aspx?AttachmentType=1	UN-GGIM Regional Entities.pdf	Tuesday, April 28, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	Regional	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50317.aspx		Structure Diagram of UN-GGIM Regional Entities				http://ggim.un.org/knowledgebase/Attachment138.aspx?AttachmentType=1	Structure Diagram  of UN-GGIM Regional Entities.pdf	Tuesday, April 28, 2015	Staff_Consultant	INFO
1	http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	Regional	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52014.aspx		Reports by regional entities and thematic groups				http://ggim.un.org/knowledgebase/Attachment1845.aspx?AttachmentType=1	E-C20-2014-14 Report of Regional Entities.pdf	Monday, June 25, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	UN-GGIM ASIA-PACIFIC	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50156.aspx		Statutes of the UN-GGIM:AP				http://ggim.un.org/knowledgebase/Attachment112.aspx?AttachmentType=1	Statutes of the Regional Committee of United Nations Global Geospatial Information Management for Asia and the Pacific.pdf	Wednesday, March 4, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	UN-GGIM ASIA-PACIFIC	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50157.aspx		Rules of Procedure of the UN-GGIM:AP				http://ggim.un.org/knowledgebase/Attachment94.aspx?AttachmentType=1	Rules of Procedure of the Regional Committee of United Nations Global Geospatial Information Management for Asia and the Pacific.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	UN-GGIM ASIA-PACIFIC	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51639.aspx		Report of the Regional Committee of UN-GGIM for Asia and the...				http://ggim.un.org/knowledgebase/Attachment1471.aspx?AttachmentType=1	Item 4 - Hiroshi Murakami (UN-GGIM Asia Pacific).pdf	Tuesday, June 12, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	UN-GGIM ASIA-PACIFIC	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51649.aspx		Report of the Regional Committee of United Nations Global...				http://ggim.un.org/knowledgebase/Attachment1480.aspx?AttachmentType=1	Background_Document_for_UN-GGIM-AP_Report.pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	UN-GGIM ASIA-PACIFIC	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51889.aspx		The 5th Session of UN-GGIM Report from Asia & Pacific				http://ggim.un.org/knowledgebase/Attachment1717.aspx?AttachmentType=1	GGIM-AP  Introduction.pdf	Thursday, June 21, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50192.aspx		Regional Report of the UN-GGIM:AP June 2014				http://ggim.un.org/knowledgebase/Attachment114.aspx?AttachmentType=1	Regional Report of the UN-GGIM-AP June 2014.pdf	Monday, April 27, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50176.aspx		The 3rd UN-GGIM-AP Record of Proceedings				http://ggim.un.org/knowledgebase/Attachment98.aspx?AttachmentType=1	The 3rd UN-GGIM-AP Record of Proceedings.pdf	Friday, March 20, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50175.aspx		Resolutions at the 2nd UN-GGIM-AP Meeting				http://ggim.un.org/knowledgebase/Attachment97.aspx?AttachmentType=1	Resolutions at the 2nd UN-GGIM-AP Meeting.pdf	Monday, February 23, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50217.aspx		19th UNRCC-AP Resolution	19thUnited Nations Regional Cartographic Conferences(UNRCC)-AP Resolution			http://ggim.un.org/knowledgebase/Attachment124.aspx?AttachmentType=1	19th UNRCC AP Resolution.pdf	Friday, March 20, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52021.aspx		UN-GGIM:Americas Regional Report 2013-2014				http://ggim.un.org/knowledgebase/Attachment1851.aspx?AttachmentType=1	14. Regional Report_ Presentation ROA.pdf	Monday, June 25, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52023.aspx		Report from Asia Pacific				http://ggim.un.org/knowledgebase/Attachment1853.aspx?AttachmentType=1	14_UN-GGIM-AP Report for 4th UNGGIM NY 20140806.pdf	Monday, June 25, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	Relevant Documents	6	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52303.aspx		Report of the Permanent Committee on GIS Infrastructure for       Asia...				http://ggim.un.org/knowledgebase/Attachment2152.aspx?AttachmentType=1	Report of the PCGIAP at UNCE-GGIM2 20120815 (Final).pdf	Wednesday, June 27, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	UN-GGIM AMERICAS	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50203.aspx		Statutes of UN-GGIM:Americas				http://ggim.un.org/knowledgebase/Attachment120.aspx?AttachmentType=1	Statutes of UN-GGIM-Americas.pdf	Friday, March 13, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	UN-GGIM AMERICAS	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51637.aspx		UN-GGIM: Americas Regional Report 2016-2017				http://ggim.un.org/knowledgebase/Attachment1469.aspx?AttachmentType=1	Item 4 - Rolando Ocampo (UN-GGIM Americas).pdf	Tuesday, June 12, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	UN-GGIM AMERICAS	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51646.aspx		Regional Report UN-GGIM: Americas 2016-2017 - English				http://ggim.un.org/knowledgebase/Attachment1477.aspx?AttachmentType=1	UN-GGIM_Americas_Regional_Report_2017.pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	UN-GGIM AMERICAS	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51647.aspx		Regional Report UN-GGIM: Americas 2016-2017 - Spanish				http://ggim.un.org/knowledgebase/Attachment1478.aspx?AttachmentType=1	UN-GGIM_Americas_Reporte_Regional_2017_spanish.pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	UN-GGIM AMERICAS	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51887.aspx		UNGGIM Americas Regional Report 2014-2015				http://ggim.un.org/knowledgebase/Attachment1715.aspx?AttachmentType=1	Regional Report UN-GGIM_Américas.pdf	Thursday, June 21, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory43.aspx	Relevant Documents	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50191.aspx		Regional Report of the UN-GGIM-Americas 2013-2014				http://ggim.un.org/knowledgebase/Attachment111.aspx?AttachmentType=1	Regional Report of the UN-GGIM-Americas 2013-2014.pdf	Wednesday, March 4, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	UN-GGIM EUROPE	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50178.aspx		Rules of Procedure of the UN-GGIM:Europe				http://ggim.un.org/knowledgebase/Attachment100.aspx?AttachmentType=1	Rules of Procedure of the United Nations Committee of Experts on Global Geospatial Information Management for Europe .pdf.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	UN-GGIM EUROPE	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50181.aspx		Overview of the UN-GGIM:Europe				http://ggim.un.org/knowledgebase/Attachment103.aspx?AttachmentType=1	Overview of the UN-GGIM-Europe.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	UN-GGIM EUROPE	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50193.aspx		Statutes of the UN-GGIM: Europe				http://ggim.un.org/knowledgebase/Attachment116.aspx?AttachmentType=1	Statutes of the United Nations Committee of Experts on Global Geospatial Information Management for Europe.pdf	Wednesday, March 4, 2015	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	UN-GGIM EUROPE	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51650.aspx		Report on Global Geospatial Information Management in Europe				http://ggim.un.org/knowledgebase/Attachment1481.aspx?AttachmentType=1	UNGGIM-Europe_ReportGGIM7_v1.pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
