level	category_url	category_title	article_no	article_url	article_title	article_label	article_desc	article_weblink_url	article_weblink_label	article_file_url	article_file_title	article_dateModified	article_modifiedBy	article_type
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	UN-GGIM EUROPE	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51890.aspx		Contribution of regional committees and thematic groups to       the...				http://ggim.un.org/knowledgebase/Attachment1718.aspx?AttachmentType=1	GGIM Europe Introduction.pdf	Thursday, June 21, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	Relevant Documents	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50179.aspx		The UN-GGIM:Europe WG 1 Report				http://ggim.un.org/knowledgebase/Attachment101.aspx?AttachmentType=1	UN-GGIM-Europe-Working Group 1 Report.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	Relevant Documents	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50180.aspx		The UN-GGIM:Europe WG 2 Report				http://ggim.un.org/knowledgebase/Attachment102.aspx?AttachmentType=1	UN-GGIM-Europe Working Group 2 Report.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	Relevant Documents	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50182.aspx		Report on the Establishment of UN‐GGIM:Europe Item 14				http://ggim.un.org/knowledgebase/Attachment104.aspx?AttachmentType=1	Report on the establishment of the UN-GGIM-Europe Item 14.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	Relevant Documents	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50183.aspx		E-C20-2014-14 Report of Regional Entities				http://ggim.un.org/knowledgebase/Attachment105.aspx?AttachmentType=1	E-C20-2014-14 Report of Regional Entities.pdf	Tuesday, February 24, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	Relevant Documents	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52306.aspx		UN GGIM Europe Region Report				http://ggim.un.org/knowledgebase/Attachment2155.aspx?AttachmentType=1	Eurostat and EuroGeographics for UNGGIM NY.pdf	Wednesday, June 27, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51476.aspx		Second Meeting of UN-GGIM:Arab States in Algeria in June, 2015				http://ggim.un.org/knowledgebase/Attachment1316.aspx?AttachmentType=1	2nd Meeting Report UN-GGIM Arab States_Algeria.pdf	Wednesday, January 6, 2016	Administrator	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50264.aspx		First Meeting of UN-GGIM:Arab States in Saudi Arabia in Feb,       2015...				http://ggim.un.org/knowledgebase/Attachment126.aspx?AttachmentType=1	First Meeting of the UN-GGIM Arab States  Feb 2015.pdf	Wednesday, January 6, 2016	Administrator	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50327.aspx		Preparatory Meeting of UN-GGIM:Arab States_Amman Report				http://ggim.un.org/knowledgebase/Attachment1313.aspx?AttachmentType=1	Preparatory Meeting of UN-GGIM  Arab States_Amman Report.pdf	Wednesday, January 6, 2016	Administrator	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51638.aspx		UN-GGIM: Arab States Report of 7th Session				http://ggim.un.org/knowledgebase/Attachment1470.aspx?AttachmentType=1	Item 4 - Bandar Saleh H. Almuslamni (UN-GGIM Arab States).pdf	Tuesday, June 12, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	4	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51648.aspx		REPORT To 7th United Nations - Global Geospatial Information...				http://ggim.un.org/knowledgebase/Attachment1479.aspx?AttachmentType=1	UN-GGIM-Arab-States-7th Report (with Annex.).pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	UN-GGIM ARAB STATES	5	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51888.aspx		UN-GGIM: Arab States Activities 5th UN-GGIM Session				http://ggim.un.org/knowledgebase/Attachment1716.aspx?AttachmentType=1	GGIM Arab States Introduction.pdf	Thursday, June 21, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory48.aspx	Relevant Documents	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50360.aspx		Why it is important for Arab States - UN-GGIM Brief Note				http://ggim.un.org/knowledgebase/Attachment182.aspx?AttachmentType=1	Why it is important for Arab States - UN-GGIM Brief Note.pdf	Thursday, May 14, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory48.aspx	Relevant Documents	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50459.aspx		UN-GGIM: Arab States Convenes Inaugural Meeting in Riyadh				http://ggim.un.org/knowledgebase/Attachment280.aspx?AttachmentType=1	UN-GGIM-Arab States Article-GIM International.pdf	Wednesday, January 6, 2016	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory48.aspx	Relevant Documents	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52022.aspx		Report on the establishment of UN‐GGIM: Arab States				http://ggim.un.org/knowledgebase/Attachment1852.aspx?AttachmentType=1	14_ARAB report.pdf	Monday, June 25, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory19.aspx	UN-GGIM AFRICA	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51477.aspx		First Meeting of UN-GGIM:Africa in Kenya in Nov 2015				http://ggim.un.org/knowledgebase/Attachment1317.aspx?AttachmentType=1	2015.UN.GGIM.Africa - First Meeting Report.pdf	Wednesday, January 6, 2016	Administrator	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory19.aspx	UN-GGIM AFRICA	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50199.aspx		Preparatory Meeting of UN-GGIM:Africa in Tunisia in Dec 2014				http://ggim.un.org/knowledgebase/Attachment118.aspx?AttachmentType=1	Un-GGIM-Africa  Inception Meeting Dec 2014.pdf	Wednesday, January 6, 2016	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory19.aspx	UN-GGIM AFRICA	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51636.aspx		UN-GGIM: Africa Report to the 7th Session of the CE of UN-GGIM				http://ggim.un.org/knowledgebase/Attachment1468.aspx?AttachmentType=1	Item 4 - Sultan Mohammed Alya (UN-GGIM Africa).pdf	Tuesday, June 12, 2018	Staff_Consultant	INFO
2	http://ggim.un.org/knowledgebase/KnowledgebaseCategory19.aspx	UN-GGIM AFRICA	3	http://ggim.un.org/knowledgebase/KnowledgebaseArticle51645.aspx		Report on UN-GGIM Regional Activities in Africa				http://ggim.un.org/knowledgebase/Attachment1476.aspx?AttachmentType=1	2017.UN-GGIM-Africa_Regional_Report-June_2017_Final_30_June.pdf	Thursday, June 14, 2018	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory49.aspx	Relevant Documents	0	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50190.aspx		Regional Report of the UN-GGIM:Africa June 2014				http://ggim.un.org/knowledgebase/Attachment110.aspx?AttachmentType=1	Regional Report of the UN-GGIM- Africa June 2014.pdf	Wednesday, March 4, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory49.aspx	Relevant Documents	1	http://ggim.un.org/knowledgebase/KnowledgebaseArticle50197.aspx		African Geodetic Reference Frame Dec 2014				http://ggim.un.org/knowledgebase/Attachment117.aspx?AttachmentType=1	African Geodetic Reference Frame Dec 2014.pdf	Thursday, March 12, 2015	Staff_Consultant	INFO
3	http://ggim.un.org/knowledgebase/KnowledgebaseCategory49.aspx	Relevant Documents	2	http://ggim.un.org/knowledgebase/KnowledgebaseArticle52305.aspx		REPORT ON GGIM ACTIVITIES IN AFRICA				http://ggim.un.org/knowledgebase/Attachment2154.aspx?AttachmentType=1	Africa regional report Aug 2012.pdf	Wednesday, June 27, 2018	Staff_Consultant	INFO
