parent	url	hasChildren	Multipage	page	htmlTable
	11	1	0		T00001
11	12	1	0		T00002
12	32	0	0		T00003
12	24	0	0		T00004
12	23	0	0		T00005
12	25	0	0		T00006
12	26	0	0		T00007
11	13	1	0		T00008
13	28	0	1	1	T00009
13	28	0	1	2	T00010
13	28	0	1	3	T00011
13	28	0	1	4	T00012
13	28	0	1	5	T00013
13	28	0	1	6	T00014
13	29	0	0		T00015
13	30	0	1	1	T00016
13	30	0	1	2	T00017
13	30	0	1	3	T00018
13	30	0	1	4	T00019
13	30	0	1	5	T00020
13	30	0	1	6	T00021
13	30	0	1	7	T00022
13	30	0	1	8	T00023
13	27	0	1	1	T00024
13	27	0	1	2	T00025
13	27	0	1	3	T00026
13	27	0	1	4	T00027
13	27	0	1	5	T00028
13	27	0	1	6	T00029
13	27	0	1	7	T00030
13	27	0	1	8	T00031
13	27	0	1	9	T00032
13	27	0	1	10	T00033
13	27	0	1	11	T00034
13	27	0	1	12	T00035
13	27	0	1	13	T00036
13	27	0	1	14	T00037
13	27	0	1	15	T00038
13	27	0	1	16	T00039
13	27	0	1	17	T00040
13	27	0	1	18	T00041
13	27	0	1	19	T00042
13	27	0	1	20	T00043
13	27	0	1	21	T00044
13	27	0	1	22	T00045
13	27	0	1	23	T00046
13	27	0	1	24	T00047
13	27	0	1	25	T00048
13	27	0	1	26	T00049
13	27	0	1	27	T00050
13	27	0	1	28	T00051
13	27	0	1	29	T00052
13	27	0	1	30	T00053
13	27	0	1	31	T00054
13	27	0	1	32	T00055
13	27	0	1	33	T00056
13	27	0	1	34	T00057
13	27	0	1	35	T00058
13	27	0	1	36	T00059
13	27	0	1	37	T00060
13	27	0	1	38	T00061
13	27	0	1	39	T00062
13	27	0	1	40	T00063
13	27	0	1	41	T00064
11	37	1	1	1	T00065
11	37	1	1	2	T00066
37	39	0	0		T00067
37	38	0	0		T00068
37	59	0	0		T00069
37	98	0	0		T00070
37	99	0	1	1	T00071
37	99	0	1	2	T00072
37	99	0	1	3	T00073
37	99	0	1	4	T00074
37	100	0	0		T00075
11	50	1	0		T00076
50	54	0	0		T00077
50	61	0	0		T00078
50	60	0	0		T00079
50	57	0	0		T00080
50	101	0	0		T00081
50	102	0	1	1	T00082
50	102	0	1	2	T00083
50	102	0	1	3	T00084
50	55	0	0		T00085
11	62	1	0		T00086
62	85	0	0		T00087
62	86	0	1	1	T00088
62	86	0	1	2	T00089
62	87	0	0		T00090
11	88	1	0		T00091
88	89	0	0		T00092
88	90	0	1	1	T00093
88	90	0	1	2	T00094
88	91	0	0		T00095
11	40	1	0		T00096
40	41	0	0		T00097
40	42	0	0		T00098
40	103	0	0		T00099
40	104	0	0		T00100
40	105	0	0		T00101
11	6	1	0		T00102
6	7	1	0		T00103
7	45	0	0		T00104
6	8	0	0		T00105
6	9	0	0		T00106
6	22	0	0		T00107
11	62	1	0		T00108
62	64	0	0		T00109
62	65	0	0		T00110
11	63	1	0		T00111
63	66	0	0		T00112
	14	1	0		T00113
14	16	0	0		T00114
16	44	0	0		T00115
14	15	0	0		T00116
15	43	0	0		T00117
14	46	0	0		T00118
46	47	0	0		T00119
14	17	0	0		T00120
17	48	0	0		T00121
14	19	0	0		T00122
19	49	0	0		T00123
49	20	1	1	1	T00124
49	20	1	1	2	T00125
49	20	1	1	3	T00126
49	20	1	1	4	T00127
49	20	1	1	5	T00128
49	20	1	1	6	T00129
49	20	1	1	7	T00130
49	20	1	1	8	T00131
49	20	1	1	9	T00132
49	20	1	1	10	T00133
49	20	1	1	11	T00134
49	20	1	1	12	T00135
20	3	0	1	1	T00136
20	3	0	1	2	T00137
20	3	0	1	3	T00138
20	3	0	1	4	T00139
20	3	0	1	5	T00140
20	3	0	1	6	T00141
20	3	0	1	7	T00142
20	3	0	1	8	T00143
20	3	0	1	9	T00144
20	21	0	1	1	T00145
20	21	0	1	2	T00146
20	21	0	1	3	T00147
20	21	0	1	4	T00148
20	21	0	1	5	T00149
20	21	0	1	6	T00150
20	5	0	1	1	T00151
20	5	0	1	2	T00152
20	5	0	1	3	T00153
20	5	0	1	4	T00154
20	5	0	1	5	T00155
20	5	0	1	6	T00156
20	5	0	1	7	T00157
20	4	0	1	1	T00158
20	4	0	1	2	T00159
20	4	0	1	3	T00160
20	10	0	1	1	T00161
20	10	0	1	2	T00162
